supplier_id,supplier_name,country_code,region,category,contract_value_usd,lead_time_days,quality_score,on_time_delivery_pct,risk_rating,last_audit_date,is_active
SUP-790675ED,Alpha_Inc,BR,LATAM,Electronics,1046133.94,14,97.89,73.65,LOW,2022-07-20,True
SUP-4221BE5F,Alpha_Inc,BR,LATAM,MRO,2273243.38,10,100.0,84.04,LOW,2022-07-22,True
SUP-2D484A9D,Alpha_Inc,BR,LATAM,Office Supplies,2212522.81,11,100.0,67.39,LOW,2022-07-24,True
SUP-24322673,Alpha_Inc,BR,LATAM,Packaging,1737510.74,10,92.92,76.66,MEDIUM,2022-07-26,True
SUP-B0085ECA,Alpha_Inc,BR,LATAM,Raw Materials,871615.5,13,91.15,73.42,MEDIUM,2022-07-28,True
SUP-CB18FC3F,Beta_Supplies,BR,LATAM,Electronics,2667827.59,12,94.84,48.61,MEDIUM,2022-07-30,True
SUP-391E5C29,Beta_Supplies,BR,LATAM,MRO,1543608.34,10,84.56,80.85,MEDIUM,2022-08-01,True
SUP-535E20AC,Beta_Supplies,BR,LATAM,Office Supplies,1642970.36,10,93.4,73.31,MEDIUM,2022-08-03,True
SUP-2D54E9C2,Beta_Supplies,BR,LATAM,Packaging,1787627.47,10,100.0,80.88,HIGH,2022-08-05,True
SUP-328673E5,Beta_Supplies,BR,LATAM,Raw Materials,1725106.38,15,93.29,82.48,MEDIUM,2022-08-07,True
SUP-D0CBC98B,Delta_Logistics,BR,LATAM,Electronics,1612747.51,11,89.06,78.8,HIGH,2022-08-09,True
SUP-99E2D234,Delta_Logistics,BR,LATAM,MRO,2335158.8,10,91.39,69.17,HIGH,2022-08-11,True
SUP-ECAE64EF,Delta_Logistics,BR,LATAM,Office Supplies,2599230.83,8,85.56,55.71,HIGH,2022-08-13,True
SUP-D5E20697,Delta_Logistics,BR,LATAM,Packaging,1633110.99,7,91.64,73.98,HIGH,2022-08-15,True
SUP-663E0F7E,Delta_Logistics,BR,LATAM,Raw Materials,2135002.27,11,95.91,79.82,HIGH,2022-08-17,True
SUP-CF76584C,Epsilon_Group,BR,LATAM,Electronics,1903149.02,8,95.06,87.59,LOW,2022-08-19,True
SUP-5424E9CC,Epsilon_Group,BR,LATAM,MRO,2256689.11,11,100.0,77.74,LOW,2022-08-21,True
SUP-6B60A702,Epsilon_Group,BR,LATAM,Office Supplies,1884293.02,14,100.0,76.85,LOW,2022-08-23,True
SUP-8EDEA6AA,Epsilon_Group,BR,LATAM,Packaging,2084629.24,14,92.43,58.47,LOW,2022-08-25,True
SUP-20DA8BB1,Epsilon_Group,BR,LATAM,Raw Materials,1521756.82,12,91.33,66.39,LOW,2022-08-27,True
SUP-9ABFBE53,Gamma_Co,BR,LATAM,Electronics,1575081.45,12,89.76,84.48,LOW,2022-08-29,True
SUP-E0DF6BB0,Gamma_Co,BR,LATAM,MRO,2614078.12,15,87.84,77.17,MEDIUM,2022-08-31,True
SUP-E8712161,Gamma_Co,BR,LATAM,Office Supplies,1003982.87,7,88.68,68.15,MEDIUM,2022-09-02,True
SUP-E9138741,Gamma_Co,BR,LATAM,Packaging,1775660.43,7,98.29,80.02,MEDIUM,2022-09-04,True
SUP-562E519C,Gamma_Co,BR,LATAM,Raw Materials,1401786.63,7,88.6,74.79,MEDIUM,2022-09-06,True
