supplier_id,supplier_name,country_code,region,category,contract_value_usd,lead_time_days,quality_score,on_time_delivery_pct,risk_rating,last_audit_date,is_active
SUP-94CAFB64,Alpha_Inc,CN,APAC,Electronics,1293879.79,13,94.24,79.76,LOW,2022-02-20,True
SUP-ED958862,Alpha_Inc,CN,APAC,MRO,1352989.88,11,99.08,73.05,LOW,2022-02-22,True
SUP-B8EFDF02,Alpha_Inc,CN,APAC,Office Supplies,1879917.74,13,96.66,69.03,LOW,2022-02-24,True
SUP-2338BAAD,Alpha_Inc,CN,APAC,Packaging,1232259.26,15,100.0,69.5,MEDIUM,2022-02-26,True
SUP-57FB7AE6,Alpha_Inc,CN,APAC,Raw Materials,1092201.91,14,100.0,72.15,MEDIUM,2022-02-28,True
SUP-89DE0930,Beta_Supplies,CN,APAC,Electronics,2430756.09,8,96.11,54.58,MEDIUM,2022-03-02,True
SUP-1CCD6648,Beta_Supplies,CN,APAC,MRO,1304393.54,8,87.92,84.59,MEDIUM,2022-03-04,True
SUP-F53B814A,Beta_Supplies,CN,APAC,Office Supplies,3019994.7,11,88.13,67.22,MEDIUM,2022-03-06,True
SUP-02841AAE,Beta_Supplies,CN,APAC,Packaging,1236684.51,11,85.61,65.77,HIGH,2022-03-08,True
SUP-1C82AD19,Beta_Supplies,CN,APAC,Raw Materials,2939209.81,14,95.45,74.91,MEDIUM,2022-03-10,True
SUP-0DAB238A,Delta_Logistics,CN,APAC,Electronics,1712295.7,15,84.62,80.87,HIGH,2022-03-12,True
SUP-DC42B551,Delta_Logistics,CN,APAC,MRO,1323519.04,14,88.13,68.97,HIGH,2022-03-14,True
SUP-67F07CB8,Delta_Logistics,CN,APAC,Office Supplies,1855856.23,9,81.46,65.11,HIGH,2022-03-16,True
SUP-0850574A,Delta_Logistics,CN,APAC,Packaging,1690279.07,9,97.24,58.98,HIGH,2022-03-18,True
SUP-5623D4B6,Delta_Logistics,CN,APAC,Raw Materials,2193013.71,11,88.46,70.73,HIGH,2022-03-20,True
SUP-20C5E075,Epsilon_Group,CN,APAC,Electronics,2000349.06,10,97.89,73.88,LOW,2022-03-22,True
SUP-76651B1A,Epsilon_Group,CN,APAC,MRO,2495628.24,10,100.0,72.78,LOW,2022-03-24,True
SUP-765DC678,Epsilon_Group,CN,APAC,Office Supplies,2166847.33,11,91.74,80.09,LOW,2022-03-26,True
SUP-3F0B0B91,Epsilon_Group,CN,APAC,Packaging,1994155.09,9,98.97,52.64,LOW,2022-03-28,True
SUP-935270CA,Epsilon_Group,CN,APAC,Raw Materials,989255.5,9,98.86,73.42,LOW,2022-03-30,True
SUP-DF04E920,Gamma_Co,CN,APAC,Electronics,1235713.62,14,91.4,71.25,LOW,2022-04-01,True
SUP-31CC7F60,Gamma_Co,CN,APAC,MRO,1882539.18,10,100.0,64.88,MEDIUM,2022-04-03,True
SUP-EBFD4FC8,Gamma_Co,CN,APAC,Office Supplies,1572219.35,9,96.75,62.94,MEDIUM,2022-04-05,True
SUP-2A33EF3D,Gamma_Co,CN,APAC,Packaging,1749877.1,14,98.48,69.38,MEDIUM,2022-04-07,True
SUP-C2B1063D,Gamma_Co,CN,APAC,Raw Materials,2461938.05,12,100.0,70.86,MEDIUM,2022-04-09,True
