supplier_id,supplier_name,country_code,region,category,contract_value_usd,lead_time_days,quality_score,on_time_delivery_pct,risk_rating,last_audit_date,is_active
SUP-1B215C23,Alpha_Inc,DE,EMEA,Electronics,1113039.72,12,93.91,86.91,LOW,2022-05-31,True
SUP-70D01662,Alpha_Inc,DE,EMEA,MRO,1370546.29,12,94.82,83.92,LOW,2022-06-02,True
SUP-1FDCDC9E,Alpha_Inc,DE,EMEA,Office Supplies,2110707.56,14,95.69,84.13,LOW,2022-06-04,True
SUP-3520B0CE,Alpha_Inc,DE,EMEA,Packaging,1617245.9,9,100.0,65.38,MEDIUM,2022-06-06,True
SUP-5CCE2913,Alpha_Inc,DE,EMEA,Raw Materials,718097.47,8,92.21,68.56,MEDIUM,2022-06-08,True
SUP-9DE6F916,Beta_Supplies,DE,EMEA,Electronics,2693300.93,15,95.9,52.32,MEDIUM,2022-06-10,True
SUP-488CE484,Beta_Supplies,DE,EMEA,MRO,1596340.08,12,92.99,77.66,MEDIUM,2022-06-12,True
SUP-B83A7101,Beta_Supplies,DE,EMEA,Office Supplies,1962423.61,14,88.77,67.26,MEDIUM,2022-06-14,True
SUP-463126EC,Beta_Supplies,DE,EMEA,Packaging,1087511.08,12,91.68,79.89,HIGH,2022-06-16,True
SUP-32790CE9,Beta_Supplies,DE,EMEA,Raw Materials,1850694.56,9,88.18,73.21,MEDIUM,2022-06-18,True
SUP-3A03E3E6,Delta_Logistics,DE,EMEA,Electronics,2280538.41,13,92.63,82.04,HIGH,2022-06-20,True
SUP-4880BB68,Delta_Logistics,DE,EMEA,MRO,1991192.95,15,82.41,72.68,HIGH,2022-06-22,True
SUP-038A6660,Delta_Logistics,DE,EMEA,Office Supplies,2066548.4,11,78.31,69.0,HIGH,2022-06-24,True
SUP-CE7BCF9B,Delta_Logistics,DE,EMEA,Packaging,1711639.62,12,92.96,62.86,HIGH,2022-06-26,True
SUP-D073F916,Delta_Logistics,DE,EMEA,Raw Materials,1902135.8,9,83.96,71.91,HIGH,2022-06-28,True
SUP-D05B4A92,Epsilon_Group,DE,EMEA,Electronics,2234961.85,9,90.02,81.77,LOW,2022-06-30,True
SUP-1122F13C,Epsilon_Group,DE,EMEA,MRO,1877201.72,12,95.66,72.26,LOW,2022-07-02,True
SUP-C425A2F7,Epsilon_Group,DE,EMEA,Office Supplies,2183410.46,13,90.32,72.06,LOW,2022-07-04,True
SUP-7B1123F4,Epsilon_Group,DE,EMEA,Packaging,1502179.65,11,100.0,62.33,LOW,2022-07-06,True
SUP-0BA154D3,Epsilon_Group,DE,EMEA,Raw Materials,1020428.5,8,90.66,73.86,LOW,2022-07-08,True
SUP-0792CBD9,Gamma_Co,DE,EMEA,Electronics,1213373.44,11,97.41,66.68,LOW,2022-07-10,True
SUP-9BC007C0,Gamma_Co,DE,EMEA,MRO,1681620.04,14,94.57,67.98,MEDIUM,2022-07-12,True
SUP-26012DE8,Gamma_Co,DE,EMEA,Office Supplies,1006338.15,7,97.92,68.24,MEDIUM,2022-07-14,True
SUP-BC602C95,Gamma_Co,DE,EMEA,Packaging,1580030.52,8,92.61,79.88,MEDIUM,2022-07-16,True
SUP-00703C41,Gamma_Co,DE,EMEA,Raw Materials,2457457.95,8,89.94,64.72,MEDIUM,2022-07-18,True
