supplier_id,supplier_name,country_code,region,category,contract_value_usd,lead_time_days,quality_score,on_time_delivery_pct,risk_rating,last_audit_date,is_active
SUP-AE3B789F,Alpha_Inc,IN,APAC,Electronics,1759979.23,10,95.83,82.97,LOW,2022-01-01,True
SUP-4CEF868A,Alpha_Inc,IN,APAC,MRO,2133259.75,11,100.0,71.13,LOW,2022-01-03,True
SUP-F89F3967,Alpha_Inc,IN,APAC,Office Supplies,2787180.09,7,100.0,77.2,LOW,2022-01-05,True
SUP-3AEB6FE3,Alpha_Inc,IN,APAC,Packaging,1797112.35,10,99.89,72.22,MEDIUM,2022-01-07,True
SUP-E2FD6CA3,Alpha_Inc,IN,APAC,Raw Materials,1034510.53,11,92.52,68.71,MEDIUM,2022-01-09,True
SUP-43A503D0,Beta_Supplies,IN,APAC,Electronics,2701917.54,9,87.06,58.4,MEDIUM,2022-01-11,True
SUP-D9862379,Beta_Supplies,IN,APAC,MRO,1245268.71,14,85.07,70.33,MEDIUM,2022-01-13,True
SUP-5088FE7B,Beta_Supplies,IN,APAC,Office Supplies,1901303.25,9,97.89,62.03,MEDIUM,2022-01-15,True
SUP-B0FAE4D8,Beta_Supplies,IN,APAC,Packaging,1045542.51,9,94.58,82.31,HIGH,2022-01-17,True
SUP-C183BB0F,Beta_Supplies,IN,APAC,Raw Materials,2046064.39,12,95.41,87.09,MEDIUM,2022-01-19,True
SUP-D1BD4DE8,Delta_Logistics,IN,APAC,Electronics,1688028.49,14,83.18,78.9,HIGH,2022-01-21,True
SUP-E5474968,Delta_Logistics,IN,APAC,MRO,1586407.89,10,96.62,69.62,HIGH,2022-01-23,True
SUP-33DEC691,Delta_Logistics,IN,APAC,Office Supplies,2449619.9,14,91.55,54.11,HIGH,2022-01-25,True
SUP-3D304EF3,Delta_Logistics,IN,APAC,Packaging,1429749.68,9,86.31,72.65,HIGH,2022-01-27,True
SUP-30732B53,Delta_Logistics,IN,APAC,Raw Materials,1718446.0,9,83.76,72.48,HIGH,2022-01-29,True
SUP-8225273F,Epsilon_Group,IN,APAC,Electronics,2014208.09,8,91.81,70.22,LOW,2022-01-31,True
SUP-F4ED2A61,Epsilon_Group,IN,APAC,MRO,2021283.47,14,94.18,79.39,LOW,2022-02-02,True
SUP-CCE9450C,Epsilon_Group,IN,APAC,Office Supplies,2480999.52,15,97.91,70.1,LOW,2022-02-04,True
SUP-60C62DAC,Epsilon_Group,IN,APAC,Packaging,1406861.04,14,96.21,61.13,LOW,2022-02-06,True
SUP-B13C37D0,Epsilon_Group,IN,APAC,Raw Materials,1707719.92,12,94.88,64.75,LOW,2022-02-08,True
SUP-54246772,Gamma_Co,IN,APAC,Electronics,1559530.25,15,97.94,79.11,LOW,2022-02-10,True
SUP-FC3FF55F,Gamma_Co,IN,APAC,MRO,1824486.96,12,89.78,66.23,MEDIUM,2022-02-12,True
SUP-5F7200F9,Gamma_Co,IN,APAC,Office Supplies,935593.4,8,91.84,69.97,MEDIUM,2022-02-14,True
SUP-D688F9B9,Gamma_Co,IN,APAC,Packaging,2118845.36,10,93.22,75.93,MEDIUM,2022-02-16,True
SUP-DBCF2299,Gamma_Co,IN,APAC,Raw Materials,2145259.25,13,94.76,63.4,MEDIUM,2022-02-18,True
