supplier_id,supplier_name,country_code,region,category,contract_value_usd,lead_time_days,quality_score,on_time_delivery_pct,risk_rating,last_audit_date,is_active
SUP-C8DA1D3F,Alpha_Inc,JP,APAC,Electronics,1751013.77,13,100.0,80.89,LOW,2022-09-08,True
SUP-EDD6EED2,Alpha_Inc,JP,APAC,MRO,1345268.54,10,92.45,71.89,LOW,2022-09-10,True
SUP-14A78DCE,Alpha_Inc,JP,APAC,Office Supplies,2065988.25,9,98.74,74.92,LOW,2022-09-12,True
SUP-0CB60D0A,Alpha_Inc,JP,APAC,Packaging,1110109.32,12,94.04,69.92,MEDIUM,2022-09-14,True
SUP-EFBD2127,Alpha_Inc,JP,APAC,Raw Materials,880767.43,11,99.32,69.44,MEDIUM,2022-09-16,True
SUP-E2A3AD96,Beta_Supplies,JP,APAC,Electronics,1728813.75,14,98.37,56.82,MEDIUM,2022-09-18,True
SUP-5C164852,Beta_Supplies,JP,APAC,MRO,1799224.81,15,98.23,75.65,MEDIUM,2022-09-20,True
SUP-D8DEA81A,Beta_Supplies,JP,APAC,Office Supplies,2169599.01,8,87.82,76.77,MEDIUM,2022-09-22,True
SUP-95037AF4,Beta_Supplies,JP,APAC,Packaging,1204430.09,14,99.48,82.89,HIGH,2022-09-24,True
SUP-6448D9A7,Beta_Supplies,JP,APAC,Raw Materials,1964616.05,9,93.55,78.9,MEDIUM,2022-09-26,True
SUP-E17A5E50,Delta_Logistics,JP,APAC,Electronics,1657279.31,9,88.45,69.18,HIGH,2022-09-28,True
SUP-2552DFB1,Delta_Logistics,JP,APAC,MRO,1573832.42,17,92.43,64.4,HIGH,2022-09-30,True
SUP-C3559B5D,Delta_Logistics,JP,APAC,Office Supplies,1988648.58,13,85.94,70.65,HIGH,2022-10-02,True
SUP-876D537F,Delta_Logistics,JP,APAC,Packaging,1125260.94,6,88.96,77.35,HIGH,2022-10-04,True
SUP-9732F915,Delta_Logistics,JP,APAC,Raw Materials,1717055.91,10,92.13,68.74,HIGH,2022-10-06,True
SUP-134EE4B6,Epsilon_Group,JP,APAC,Electronics,1859269.1,12,92.86,81.69,LOW,2022-10-08,True
SUP-7AAEDAAC,Epsilon_Group,JP,APAC,MRO,2735226.38,8,94.59,71.0,LOW,2022-10-10,True
SUP-B33DF372,Epsilon_Group,JP,APAC,Office Supplies,1811575.54,15,96.46,72.73,LOW,2022-10-12,True
SUP-76D47CC7,Epsilon_Group,JP,APAC,Packaging,1473320.45,8,93.36,47.28,LOW,2022-10-14,True
SUP-940066B9,Epsilon_Group,JP,APAC,Raw Materials,985565.81,12,96.7,65.46,LOW,2022-10-16,True
SUP-24DFFF37,Gamma_Co,JP,APAC,Electronics,1694889.07,10,97.29,85.78,LOW,2022-10-18,True
SUP-E11066A7,Gamma_Co,JP,APAC,MRO,2115686.24,10,99.41,73.94,MEDIUM,2022-10-20,True
SUP-AC8EC867,Gamma_Co,JP,APAC,Office Supplies,1395046.23,6,99.45,67.25,MEDIUM,2022-10-22,True
SUP-30AD337C,Gamma_Co,JP,APAC,Packaging,2229714.23,11,100.0,79.74,MEDIUM,2022-10-24,True
SUP-F34C3A0D,Gamma_Co,JP,APAC,Raw Materials,1430629.79,6,99.37,78.01,MEDIUM,2022-10-26,True
